id,time,工作計畫名稱,工作計畫編號,第一二級用途別科目名稱,第一二級用途別科目編號,科目編號,科目名稱,金額
201,106,,,其他給與,0121,3202010500,,
201,106,,,其他給與,0121,3202010800,,
201,106,,,其他給與,0121,3202019800,,
201,106,,,加班值班費,0131,total,total,31911.00
201,106,,,加班值班費,0131,3202010100,,31911.00
201,106,,,加班值班費,0131,3202010600,,
201,106,,,加班值班費,0131,3202010200,,
201,106,,,加班值班費,0131,3202010300,,
201,106,,,加班值班費,0131,3202010401,,
201,106,,,加班值班費,0131,3202010500,,
201,106,,,加班值班費,0131,3202010800,,
201,106,,,加班值班費,0131,3202019800,,
201,106,,,退休退職給付,0142,total,total,5506.00
201,106,,,退休退職給付,0142,3202010100,,5506.00
201,106,,,退休退職給付,0142,3202010600,,
201,106,,,退休退職給付,0142,3202010200,,
201,106,,,退休退職給付,0142,3202010300,,
201,106,,,退休退職給付,0142,3202010401,,
201,106,,,退休退職給付,0142,3202010500,,
201,106,,,退休退職給付,0142,3202010800,,
201,106,,,退休退職給付,0142,3202019800,,
201,106,,,退休離職儲金,0143,total,total,32124.00
201,106,,,退休離職儲金,0143,3202010100,,32124.00
201,106,,,退休離職儲金,0143,3202010600,,
201,106,,,退休離職儲金,0143,3202010200,,
201,106,,,退休離職儲金,0143,3202010300,,
201,106,,,退休離職儲金,0143,3202010401,,
201,106,,,退休離職儲金,0143,3202010500,,
201,106,,,退休離職儲金,0143,3202010800,,
201,106,,,退休離職儲金,0143,3202019800,,
201,106,,,保險,0151,total,total,40915.00
201,106,,,保險,0151,3202010100,,40915.00
201,106,,,保險,0151,3202010600,,
201,106,,,保險,0151,3202010200,,
201,106,,,保險,0151,3202010300,,
201,106,,,保險,0151,3202010401,,
201,106,,,保險,0151,3202010500,,
201,106,,,保險,0151,3202010800,,
201,106,,,保險,0151,3202019800,,
201,106,,,業務費,0200,total,total,288085.00
201,106,,,業務費,0200,3202010100,,191948.00
201,106,,,業務費,0200,3202010600,,16850.00
201,106,,,業務費,0200,3202010200,,30000.00
201,106,,,業務費,0200,3202010300,,16575.00
201,106,,,業務費,0200,3202010401,,12126.00
201,106,,,業務費,0200,3202010500,,11366.00
201,106,,,業務費,0200,3202010800,,9220.00
201,106,,,業務費,0200,3202019800,,
201,106,,,教育訓練費,0201,total,total,1633.00
201,106,,,教育訓練費,0201,3202010100,,1633.00
201,106,,,教育訓練費,0201,3202010600,,
201,106,,,教育訓練費,0201,3202010200,,
201,106,,,教育訓練費,0201,3202010300,,
201,106,,,教育訓練費,0201,3202010401,,
201,106,,,教育訓練費,0201,3202010500,,
201,106,,,教育訓練費,0201,3202010800,,
201,106,,,教育訓練費,0201,3202019800,,
201,106,,,水電費,0202,total,total,23062.00
201,106,,,水電費,0202,3202010100,,23062.00
201,106,,,水電費,0202,3202010600,,
201,106,,,水電費,0202,3202010200,,
201,106,,,水電費,0202,3202010300,,
201,106,,,水電費,0202,3202010401,,
201,106,,,水電費,0202,3202010500,,
201,106,,,水電費,0202,3202010800,,
201,106,,,水電費,0202,3202019800,,
201,106,,,通訊費,0203,total,total,11379.00
201,106,,,通訊費,0203,3202010100,,11165.00
201,106,,,通訊費,0203,3202010600,,
201,106,,,通訊費,0203,3202010200,,
201,106,,,通訊費,0203,3202010300,,
201,106,,,通訊費,0203,3202010401,,160.00
201,106,,,通訊費,0203,3202010500,,
201,106,,,通訊費,0203,3202010800,,54.00
201,106,,,通訊費,0203,3202019800,,
201,106,,,資訊服務費,0215,total,total,18830.00
201,106,,,資訊服務費,0215,3202010100,,18830.00
201,106,,,資訊服務費,0215,3202010600,,
201,106,,,資訊服務費,0215,3202010200,,
201,106,,,資訊服務費,0215,3202010300,,
201,106,,,資訊服務費,0215,3202010401,,
201,106,,,資訊服務費,0215,3202010500,,
201,106,,,資訊服務費,0215,3202010800,,
201,106,,,資訊服務費,0215,3202019800,,
201,106,,,其他業務租金,0219,total,total,460.00
201,106,,,其他業務租金,0219,3202010100,,460.00
201,106,,,其他業務租金,0219,3202010600,,
201,106,,,其他業務租金,0219,3202010200,,
201,106,,,其他業務租金,0219,3202010300,,
201,106,,,其他業務租金,0219,3202010401,,
201,106,,,其他業務租金,0219,3202010500,,
201,106,,,其他業務租金,0219,3202010800,,
201,106,,,其他業務租金,0219,3202019800,,
201,106,,,稅捐及規費,0221,total,total,1289.00
201,106,,,稅捐及規費,0221,3202010100,,1289.00
201,106,,,稅捐及規費,0221,3202010600,,
201,106,,,稅捐及規費,0221,3202010200,,
201,106,,,稅捐及規費,0221,3202010300,,
201,106,,,稅捐及規費,0221,3202010401,,
201,106,,,稅捐及規費,0221,3202010500,,
201,106,,,稅捐及規費,0221,3202010800,,
201,106,,,稅捐及規費,0221,3202019800,,
201,106,,,保險費,0231,total,total,510.00
201,106,,,保險費,0231,3202010100,,510.00
201,106,,,保險費,0231,3202010600,,
201,106,,,保險費,0231,3202010200,,
201,106,,,保險費,0231,3202010300,,
201,106,,,保險費,0231,3202010401,,
201,106,,,保險費,0231,3202010500,,
201,106,,,保險費,0231,3202010800,,
201,106,,,保險費,0231,3202019800,,
201,106,,,兼職費,0241,total,total,192.00
201,106,,,兼職費,0241,3202010100,,192.00
201,106,,,兼職費,0241,3202010600,,
201,106,,,兼職費,0241,3202010200,,
201,106,,,兼職費,0241,3202010300,,
201,106,,,兼職費,0241,3202010401,,
201,106,,,兼職費,0241,3202010500,,
201,106,,,兼職費,0241,3202010800,,
201,106,,,兼職費,0241,3202019800,,
201,106,,,臨時人員酬金,0249,total,total,3763.00
201,106,,,臨時人員酬金,0249,3202010100,,3763.00
201,106,,,臨時人員酬金,0249,3202010600,,
201,106,,,臨時人員酬金,0249,3202010200,,
201,106,,,臨時人員酬金,0249,3202010300,,
201,106,,,臨時人員酬金,0249,3202010401,,
201,106,,,臨時人員酬金,0249,3202010500,,
201,106,,,臨時人員酬金,0249,3202010800,,
201,106,,,臨時人員酬金,0249,3202019800,,
201,106,,,按日按件計資酬金,0250,total,total,5009.00
201,106,,,按日按件計資酬金,0250,3202010100,,2431.00
201,106,,,按日按件計資酬金,0250,3202010600,,
201,106,,,按日按件計資酬金,0250,3202010200,,
201,106,,,按日按件計資酬金,0250,3202010300,,
201,106,,,按日按件計資酬金,0250,3202010401,,2578.00
