id,time,計畫名稱及領域代碼,擬前往地區,擬拜會單位,工作內容,預計前往期間,預計天數,擬派人數,旅費預算_交通費,旅費預算_生活費,旅費預算_辦公費,旅費預算_合計,歸屬預算科目,前三年內有無赴同一單位拜會,前三年赴同一單位拜會之內容
2001,113,05　澳門臺灣高等教育展86,澳門,漁人碼頭會展中心,辦理教育展、宣傳高等教育及招生。,113.01-113.12,3,2,25,30,10,65,國際及兩岸教育交流,無,
2001,113,06　視察臺商學校校務發展、營運狀況、財務收支86,上海、廣東東莞市、江蘇昆山市,上海台商子女學校、華東台商子女學校、東莞台商子弟學校,視察3所臺商學校。,113.01-113.12,5,2,40,50,10,100,國際及兩岸教育交流,無,
2001,113,07　溝通兩岸教育交流議題86,北京,視活動地點而定,訪問相關教育單位。,113.01-113.12,4,2,34,56,10,100,國際及兩岸教育交流,無,
2001,114,01　海外華人地區招生宣導86,中國大陸,海華服務基金會、海峽兩岸招生中心及港澳大陸學校等,配合海外聯招會、陸生聯招會招生規劃及宣導時程，赴港澳、大陸進行試務溝通及招生宣導。,114.02-114.06,4,2,25,43,12,80,高等教育行政及督導,無,
2001,114,02　香港4校辦學訪視86,港澳地區,珠海大學、新亞研究所、能仁學院、德明學院,訪視學校辦學及校務督導。,114.10-114.11,4,2,25,42,10,77,高等教育行政及督導,無,
2001,114,03　招收大陸及港澳專科學生來臺就讀86,香港、澳門及大陸地區,視會議議程而定,"1.參加港澳教育展擴大招收港澳學生。 
2.至大陸洽談招收陸生業務。",114.01-114.12,4,2,200,50,0,250,技術職業教育行政及督導,無,
2001,114,04　香港臺灣高等教育展86,香港,視活動地點而定,補助海外聯合招生委員會於香港辦理臺灣高等教育展。,114.01-114.12,3,2,30,43,10,83,國際及兩岸教育交流,無,
2001,114,05　澳門臺灣高等教育展86,澳門,漁人碼頭會展中心,補助海外聯合招生委員會於澳門辦理臺灣高等教育展。,114.01-114.12,3,2,25,30,10,65,國際及兩岸教育交流,無,
2001,114,06　視察臺商學校校務發展、營運狀況、財務收支86,上海、廣東東莞市、江蘇昆山市,上海台商子女學校、華東台商子女學校、東莞台商子弟學校,視察3所臺商學校。,114.01-114.12,5,2,40,50,10,100,國際及兩岸教育交流,無,
2001,114,07　溝通兩岸教育交流議題86,北京,視活動地點而定,訪問相關教育單位。,114.01-114.12,4,2,34,56,10,100,國際及兩岸教育交流,無,
