id,time,計畫名稱及領域代碼,擬前往地區,擬拜會單位,工作內容,預計前往期間,預計天數,擬派人數,旅費預算_交通費,旅費預算_生活費,旅費預算_辦公費,旅費預算_合計,歸屬預算科目,前三年內有無赴同一單位拜會,前三年赴同一單位拜會之內容
240,114,"26 至大陸參加學術會議(數學研究)10",大陸地區,學術單位,發表論文,114.01-114.12,7,2,50,50,0,100,數理科學研究,無,
240,114,"27 訪問及短期學術研究10",大陸地區,學術單位,學術交流,114.01-114.12,7,2,50,50,0,100,數理科學研究,無,
240,114,"28 赴大陸地區、香港及澳門參加學術會議11",大陸地區、香港及澳門,大陸地區、香港及澳門各大學及科技機構,參加會議、發表論文、演講,114.01-114.12,3,1,15,18,2,35,數理科學研究,無,
240,114,"29 赴大陸地區、香港及澳門學術參訪11",大陸地區、香港及澳門,大陸地區、香港及澳門各大學及科技機構,學術訪問、交流討論,114.01-114.12,3,1,15,18,2,35,數理科學研究,無,
240,114,"30 赴大陸地區、香港及澳門實驗研究之訓練費11",大陸地區、香港及澳門,大陸地區、香港及澳門各大學及科技機構,實驗研究,114.01-114.12,5,1,11,29,3,43,數理科學研究,無,
240,114,"31 化學研究國際會議12",大陸地區,重點大學及學術機構,參加會議及發表論文,114.01-114.12,5,4,80,128,22,230,數理科學研究,無,
240,114,"32 微生物學、分子生物學、生化學與植物學相關計畫研究15",大陸地區,學術單位,發表學術論文,114.01-114.12,5,1,5,8,0,13,生命科學研究,無,
240,114,"33 生物化學研究15",大陸地區,學術研究機構,參加會議及發表論文,114.01-114.12,4,3,36,80,4,120,生命科學研究,無,
240,114,"34 地震、地球物理、地質、地球化學研討會14",大陸地區,學術研究單位,參加會議、發表論文、學術研討,114.01-114.12,5,1,16,42,2,60,數理科學研究,無,
240,114,"35 赴研究機構短期研究及從事野外工作14",大陸地區,學術研究單位,短期研究、實驗、收集資料、岩石採樣、地質考察等,114.01-114.12,6,1,16,42,2,60,數理科學研究,無,
240,114,"36 系統研究群3M",大陸地區,當地重點大學及學術機構,"1.參加學術會議發表論文  
2.訪問演講",114.01-114.12,5,2,28,47,15,90,數理科學研究,無,
