id,time,會計年度,月份,會計分類,項目,預算科目編號,預算科目名稱,經資門,收入實現數,減項_收入待納庫數,加項_以前年度待納庫繳庫數,加項_以前年度撥款於本年度繳還數_零用金,加項_以前年度撥款於本年度繳還數_材料,加項_以前年度撥款於本年度繳還數_存出保證金,加項_以前年度撥款於本年度繳還數_其他應收款,加項_預收款,加項_剔除經費,繳付公庫數
201,10508,105,08,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,19054,0,0,0,19054
201,10508,105,08,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0,0
201,10508,105,08,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0,0
201,10508,105,08,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0,0
201,10509,105,09,1,本年度收入,,,1,1670533,0,0,0,0,0,0,0,0,1670533
201,10509,105,09,1,,0402010301,一般賠償收入,1,5734,0,0,0,0,0,0,0,0,5734
201,10509,105,09,1,,0502010305,資料使用費,1,76907,0,0,0,0,0,0,0,0,76907
201,10509,105,09,1,,0702010105,權利金,1,930710,0,0,0,0,0,0,0,0,930710
201,10509,105,09,1,,0702010106,租金收入,1,430114,0,0,0,0,0,0,0,0,430114
201,10509,105,09,1,,1102010901,收回以前年度歲出,1,32968,0,0,0,0,0,0,0,0,32968
201,10509,105,09,1,,1102010909,其他雜項收入,1,194100,0,0,0,0,0,0,0,0,194100
201,10509,105,09,1,以前年度收入,,,1,77912,0,0,0,0,19054,0,0,0,96966
201,10509,105,09,1,一、以前年度應收(保留)數,,,1,77912,0,0,0,0,0,0,0,0,77912
201,10509,105,09,1,,1102010901,收回以前年度歲出,1,77912,0,0,0,0,0,0,0,0,77912
201,10509,105,09,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0,0
201,10509,105,09,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,19054,0,0,0,19054
201,10509,105,09,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0,0
201,10509,105,09,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0,0
201,10509,105,09,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10509,105,09,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10509,105,09,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0,0
