id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,10911,109,11,1,5108,折舊、折耗及攤銷,3564427,39030467
201,10911,109,11,1,,收支餘絀,-6905780,-1312188
201,10912,109,12,1,410101,公庫撥入數,123228937,1086393466
201,10912,109,12,1,4103,罰款及賠償收入,9240,51944
201,10912,109,12,1,4104,規費收入,0,68
201,10912,109,12,1,4105,財產收益,82913,2676415
201,10912,109,12,1,4108,其他收入,82035,380193
201,10912,109,12,1,510101,繳付公庫數,174188,3757673
201,10912,109,12,1,5102,人事支出,30565665,704935561
201,10912,109,12,1,5103,業務支出,71967683,320887601
201,10912,109,12,1,5104,獎補助支出,0,1105500
201,10912,109,12,1,5105,財產損失,2814,404697
201,10912,109,12,1,5108,折舊、折耗及攤銷,3600900,42631367
201,10912,109,12,1,,收支餘絀,17091875,15779687
201,11001,110,01,1,410101,公庫撥入數,150780873,150780873
201,11001,110,01,1,4104,規費收入,149,149
201,11001,110,01,1,4105,財產收益,1671623,1671623
201,11001,110,01,1,4108,其他收入,10351,10351
201,11001,110,01,1,510101,繳付公庫數,1682123,1682123
201,11001,110,01,1,5102,人事支出,133318112,133318112
201,11001,110,01,1,5103,業務支出,9825849,9825849
201,11001,110,01,1,5104,獎補助支出,357500,357500
201,11001,110,01,1,5105,財產損失,2246,2246
201,11001,110,01,1,5108,折舊、折耗及攤銷,3736781,3736781
201,11001,110,01,1,,收支餘絀,3540385,3540385
201,11002,110,02,1,410101,公庫撥入數,96169688,246950561
201,11002,110,02,1,4104,規費收入,0,149
201,11002,110,02,1,4105,財產收益,78346,1749969
201,11002,110,02,1,4108,其他收入,25285,35636
201,11002,110,02,1,510101,繳付公庫數,103631,1785754
201,11002,110,02,1,5102,人事支出,83526457,216844569
201,11002,110,02,1,5103,業務支出,9895469,19721318
201,11002,110,02,1,5104,獎補助支出,0,357500
201,11002,110,02,1,5105,財產損失,66357,68603
201,11002,110,02,1,5108,折舊、折耗及攤銷,3684490,7421271
201,11002,110,02,1,,收支餘絀,-1003085,2537300
201,11003,110,03,1,410101,公庫撥入數,65232709,312183270
201,11003,110,03,1,4104,規費收入,0,149
201,11003,110,03,1,4105,財產收益,80851,1830820
201,11003,110,03,1,4108,其他收入,22234,57870
201,11003,110,03,1,510101,繳付公庫數,103085,1888839
201,11003,110,03,1,5102,人事支出,49313840,266158409
201,11003,110,03,1,5103,業務支出,18438091,38159409
201,11003,110,03,1,5104,獎補助支出,6000,363500
201,11003,110,03,1,5105,財產損失,164756,233359
201,11003,110,03,1,5108,折舊、折耗及攤銷,3679141,11100412
201,11003,110,03,1,,收支餘絀,-6369119,-3831819
201,11004,110,04,1,410101,公庫撥入數,72970505,385153775
201,11004,110,04,1,4104,規費收入,0,149
201,11004,110,04,1,4105,財產收益,122878,1953698
201,11004,110,04,1,4108,其他收入,23508,81378
201,11004,110,04,1,510101,繳付公庫數,146386,2035225
201,11004,110,04,1,5102,人事支出,51434168,317592577
201,11004,110,04,1,5103,業務支出,16025317,54184726
201,11004,110,04,1,5104,獎補助支出,2000,365500
201,11004,110,04,1,5105,財產損失,8528,241887
201,11004,110,04,1,5108,折舊、折耗及攤銷,3695022,14795434
201,11004,110,04,1,,收支餘絀,1805470,-2026349
201,11005,110,05,1,410101,公庫撥入數,58335633,443489408
201,11005,110,05,1,4104,規費收入,30,179
201,11005,110,05,1,4105,財產收益,168136,2121834
201,11005,110,05,1,4108,其他收入,22443,103821
201,11005,110,05,1,510101,繳付公庫數,190609,2225834
201,11005,110,05,1,5102,人事支出,45971743,363564320
