id,time,會計年度,年度別,接受委託單位或個人名稱,委託辦理事項,合約金額,訂約日期,完成時間_預定,完成時間_實際,本期執行數_科目,本期執行數_金額_實現數,本期執行數_金額_應付數,本期執行數_金額_保留數,本期執行數_金額_合計,按政府採購法辦理_是,委託辦理事項類別,報告,評審,委託事項報告處理,備註
401,105,105,105,國立政治大學　,立法院「台灣民主改革及轉型正義」委託研究計畫案　,"820,000",1051115,1061215,,國會圖書業務　,"164,000",0,"656,000","820,000",是,委託研究計劃_行政及政策類,有,有,其他,蒐藏議政史料，以備布展運用。
401,105,105,105,陳滄海　,「國民大會憲政史料展」增修部分史料委託研究案　,"56,000",1050621,,1050816,國會圖書業務　,"56,000",0,0,"56,000",是,委託研究計劃_行政及政策類,有,無,納入計畫實施,
