id,time,款,項,目,節,科目名稱及編號,預算數,預計執行內容
301,113,,,7,,3203012200,消保及食安業務,431,"1.辦理消費者保護綜合企劃業務，年度消費者教育活動之相關宣導，期以增進民眾消保知能等391千元。
2.辦理食品安全業務，食安知識及食安風險溝通相關宣導活動40千元。"
301,113,,,9,,3203012400,新聞傳播業務,17472,"1.辦理法令政策溝通，包括： 
  (1)針對國家總體施政計畫及政策，策製文宣素材、刊播平面及電子等多元媒體廣告，以增進民眾對政府政策瞭解3,208千元    。 
  (2)辦理行政院整體施政宣導，運用多元媒體增進民眾對自身權益及相關法令之瞭解2,540千元；加強防詐騙與防制錯假訊息等相關議題宣導8,000千元。  
  (3)辦理重大事件及災害防救等緊急事件之專案宣導2,324千元。
2.辦理廣播與地方新聞聯繫，針對國家重大施政計畫及政策，策製廣播廣告，增進廣播聽眾對政府政策瞭解1,400千元。"
301,113,,,11,,3203012800,人權及轉型正義,1120,"1.推動人權保障業務，就本院辦理相關人權政策及重要人權議題，宣導我國人權保障業務推動成果及發展願景，並提升社會大眾人權意識等560千元。
2.推動轉型正義業務，就本院推動轉型正義會報機制及運作概況，對社會各界說明我國轉型正義工作推動進程及預期成果560千元。"
301,112,,,,,3203010000,14718,
301,112,,,,,行政支出,,
301,112,2,,,,0003000000,,
301,112,,,,,行政院主管,,
301,112,,1,,,0003010000,14718,
301,112,,,,,行政院,,
301,112,,,,,3203010000,14718,
301,112,,,,,行政支出,,
301,112,,,6,,3203012000,949,
301,112,,,,,性別平等業務,,
301,112,,,7,,3203012200,529,
301,112,,,,,消保及食安業務,,
301,112,,,9,,3203012400,11840,
301,112,,,,,新聞傳播業務,,
301,112,,,11,,3203012800,1400,
301,112,,,,,人權及轉型正義,,
301,114,2,,,,0003000000,行政院主管,18733,
301,114,,1,,,0003010000,行政院,18733,
301,114,,,,,3203010000,行政支出,18733,
301,114,,,6,,3203012000,性別平等業務,1759,"辦理推展性別平等權利保障工作，性別平等與CEDAW宣導計畫及本院重要性別平等議題宣導，包含消除性別歧視宣導、CEDAW條文及一般性建議應用宣導1,759千元。"
301,114,,,7,,3203012200,消保及食安業務,680,"1.辦理消費者保護綜合企劃業務，年度消費者教育活動之相關宣導，期以增進民眾消保知能等650千元。
2.辦理食品安全業務，食安知識及食安風險溝通相關宣導活動30千元。"
301,114,,,9,,3203012400,新聞傳播業務,15454,"1.辦理法令政策溝通，包括針對國家總體施政計畫及政策、行政院整體施政，以及重大事件及災害防救等，策製文宣素材，運用多元媒體溝通宣導，以增進民眾對政府政策及施政措施之瞭解6,054千元，加強防詐騙與防制錯假訊息等重大議題宣導8,000千元。
2.辦理廣播與地方新聞聯繫，針對國家重大施政計畫及政策，策製廣播廣告，增進廣播聽眾對政府政策瞭解1,400千元。"
301,114,,,10,,3203012800,人權及轉型正義,840,"1.辦理人權及轉型正義綜合規劃業務，就本院辦理相關人權政策及重要人權議題，宣導我國人權保障業務推動成果及發展願景，並提升社會大眾人權意識等280千元。
2.辦理推動轉型正義業務，就本院推動轉型正義會報機制及運作概況，對社會各界說明我國轉型正義工作推動進程及預期成果560千元。"
501,112,4," "," "," ",0005000000," "," "
501,112," "," "," "," ",司法院主管," "," "
501,112," ",1," "," ",0005010000,34880," "
501,112," "," "," "," ",司法院," "," "
501,112," "," "," "," ",3405010000,32160," "
501,112," "," "," "," ",司法支出," "," "
501,112," "," ",1," ",3405010100,32160," 1.辦理綜合性司法政策對外溝通宣導等之相關媒體宣導製作、託播及刊登等經費20,800千元，係為宣導國民法官、勞動事件法、訴訟外紛爭解決機制、少年事件處理法、行政訴訟法、憲法訴訟法、金字塔訴訟等制度。
2.辦理法律教育推廣宣導之相關媒體宣導製作、託播及刊登等經費11,360千元，係為執行校園法治教育推廣、分眾法治教育溝通及多元網路平台推播，並透過司法影展、法治教育影音等傳遞法普知識。"
501,112," "," "," "," ",一般行政," "," "
501,112," "," "," "," ",6305010000,2720," "
501,112," "," "," "," ",福利服務支出," "," "
