id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額
201,10609,106,09,2,1407,雜項設備,28632797
201,10609,106,09,2,1410,收藏品及傳承資產,3768088072
201,10609,106,09,2,1601,無形資產,34307066
201,10609,106,09,2,3601,資本資產總額,7724017643
201,10610,106,10,2,1401,土地,3803806730
201,10610,106,10,2,1404,房屋建築及設備,22588631
201,10610,106,10,2,1405,機械及設備,22098550
201,10610,106,10,2,1406,交通及運輸設備,42919235
201,10610,106,10,2,1407,雜項設備,28058532
201,10610,106,10,2,1410,收藏品及傳承資產,3768088072
201,10610,106,10,2,1601,無形資產,34091014
201,10610,106,10,2,3601,資本資產總額,7721650764
201,10611,106,11,2,1401,土地,3803806730
201,10611,106,11,2,1404,房屋建築及設備,22428022
201,10611,106,11,2,1405,機械及設備,22686487
201,10611,106,11,2,1406,交通及運輸設備,42081732
201,10611,106,11,2,1407,雜項設備,29967375
201,10611,106,11,2,1410,收藏品及傳承資產,3768088072
201,10611,106,11,2,1601,無形資產,33902822
201,10611,106,11,2,3601,資本資產總額,7722961240
201,10701,107,01,2,1401,土地,3803806730
201,10701,107,01,2,1404,房屋建築及設備,22106670
201,10701,107,01,2,1405,機械及設備,22776591
201,10701,107,01,2,1406,交通及運輸設備,41742745
201,10701,107,01,2,1407,雜項設備,29721749
201,10701,107,01,2,1410,收藏品及傳承資產,3768088072
201,10701,107,01,2,1601,無形資產,33610316
201,10701,107,01,2,3601,資本資產總額,7721852873
201,10702,107,02,2,1401,土地,3803806730
201,10702,107,02,2,1404,房屋建築及設備,22009355
201,10702,107,02,2,1405,機械及設備,22182303
201,10702,107,02,2,1406,交通及運輸設備,40908599
201,10702,107,02,2,1407,雜項設備,29287282
201,10702,107,02,2,1410,收藏品及傳承資產,3768088072
201,10702,107,02,2,1601,無形資產,33005080
201,10702,107,02,2,3601,資本資產總額,7719287421
201,10703,107,03,2,1401,土地,3803806730
201,10703,107,03,2,1404,房屋建築及設備,21912040
