id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,10604,106,04,1,5102,人事支出,70432407,334575828
201,10604,106,04,1,5103,業務支出,18708067,51377418
201,10604,106,04,1,5104,設備及投資支出,317034,2011734
201,10604,106,04,1,5105,獎補助支出,0,378500
201,10604,106,04,1,,收支餘絀,-30424072,2287080
201,10605,106,05,1,410101,公庫撥入數,61680815,452343624
201,10605,106,05,1,4103,罰款及賠償收入,26400,28176
201,10605,106,05,1,4104,規費收入,1872,51248
201,10605,106,05,1,4105,財產收入,72300,1267460
201,10605,106,05,1,4108,其他收入,22711,187447
201,10605,106,05,1,510101,繳付公庫數,123283,1566580
201,10605,106,05,1,5102,人事支出,45898372,380474200
201,10605,106,05,1,5103,業務支出,14645574,66022992
201,10605,106,05,1,5104,設備及投資支出,169855,2181589
201,10605,106,05,1,5105,獎補助支出,373800,752300
201,10605,106,05,1,,收支餘絀,593214,2880294
201,10606,106,06,1,410101,公庫撥入數,60743263,513086887
201,10606,106,06,1,4103,罰款及賠償收入,0,28176
201,10606,106,06,1,4104,規費收入,7850,59098
201,10606,106,06,1,4105,財產收入,69600,1337060
201,10606,106,06,1,4108,其他收入,31459,218906
201,10606,106,06,1,510101,繳付公庫數,108909,1675489
201,10606,106,06,1,5102,人事支出,41441355,421915555
201,10606,106,06,1,5103,業務支出,15945712,81968704
201,10606,106,06,1,5104,設備及投資支出,3198921,5380510
201,10606,106,06,1,5105,獎補助支出,0,752300
201,10606,106,06,1,,收支餘絀,157275,3037569
201,10607,106,07,1,410101,公庫撥入數,107356539,620443426
201,10607,106,07,1,4103,罰款及賠償收入,622412,650588
201,10607,106,07,1,4104,規費收入,0,59098
201,10607,106,07,1,4105,財產收入,5458865,6795925
201,10607,106,07,1,4108,其他收入,31443,250349
201,10607,106,07,1,510101,繳付公庫數,6140308,7815797
201,10607,106,07,1,5102,人事支出,82755464,504671019
201,10607,106,07,1,5103,業務支出,23482158,105450862
201,10607,106,07,1,5104,設備及投資支出,1117368,6497878
201,10607,106,07,1,5105,獎補助支出,30000,782300
201,10607,106,07,1,,收支餘絀,-56039,2981530
201,10608,106,08,1,410101,公庫撥入數,84061912,704505338
201,10608,106,08,1,4103,罰款及賠償收入,0,650588
201,10608,106,08,1,4104,規費收入,9752,68850
201,10608,106,08,1,4105,財產收入,69900,6865825
201,10608,106,08,1,4108,其他收入,25575,275924
201,10608,106,08,1,510101,繳付公庫數,105227,7921024
201,10608,106,08,1,5102,人事支出,40604728,545275747
201,10608,106,08,1,5103,業務支出,40375041,145825903
201,10608,106,08,1,5104,設備及投資支出,251390,6749268
201,10608,106,08,1,5105,獎補助支出,1300,783600
201,10608,106,08,1,,收支餘絀,2829453,5810983
201,10609,106,09,1,410101,公庫撥入數,61463318,765968656
201,10609,106,09,1,4103,罰款及賠償收入,0,650588
201,10609,106,09,1,4104,規費收入,7779,76629
201,10609,106,09,1,4105,財產收入,79150,6944975
201,10609,106,09,1,4108,其他收入,22466,298390
201,10609,106,09,1,510101,繳付公庫數,109395,8030419
201,10609,106,09,1,5102,人事支出,44749756,590025503
201,10609,106,09,1,5103,業務支出,14819547,160645450
201,10609,106,09,1,5104,設備及投資支出,1431659,8180927
201,10609,106,09,1,5105,獎補助支出,374200,1157800
201,10609,106,09,1,,收支餘絀,88156,5899139
201,10610,106,10,1,410101,公庫撥入數,64219960,830188616
201,10610,106,10,1,4103,罰款及賠償收入,19896,670484
201,10610,106,10,1,4104,規費收入,8712,85341
201,10610,106,10,1,4105,財產收入,103255,7048230
201,10610,106,10,1,4108,其他收入,49431,347821
201,10610,106,10,1,510101,繳付公庫數,181294,8211713
201,10610,106,10,1,5102,人事支出,41162805,631188308
201,10610,106,10,1,5103,業務支出,23425612,184071062
201,10610,106,10,1,5104,設備及投資支出,231000,8411927
201,10610,106,10,1,5105,獎補助支出,0,1157800
201,10610,106,10,1,,收支餘絀,-599457,5299682
