id,time,款,項,目,節,科目名稱及編號,預算數,預計執行內容
2001,111," "," "," ",1,5120010701,10521,"1.辦理學生事務行政及督導，法治教育及生命教育相關媒體宣導製作、託播等經費1,101千元。
2.辦理學生輔導及性別平等教育，推動數位/網路性別暴力防治宣導工作計畫、性別平等Easy Go廣播節目、性別平等教育全球資訊網系統功能擴充及維護工作計畫及性別平等教育季刊編印等相關媒體宣導製作、託播、編印及刊登等經費3,061千元。
3.辦理校園安全維護與防制學生藥物濫用等相關媒體宣導製作、託播及刊登等經費5,404千元。
4.辦理學生全民國防教育推展，各級學校推動全民國防教育之政策、教學及多元輔教活動辦理實況等相關媒體宣導製作、託播等經費204千元。
5.辦理發展與改進大專校院特殊教育，委託辦理特殊教育宣導廣播節目-特別的愛等經費751千元。"
2001,111," "," "," "," ",學生事務與特殊教育行政及督導," "," "
2001,111," "," ",6," ",5120010900,6843," "
2001,111," "," "," "," ",各項教育推展," "," "
2001,111," "," "," ",1,5120010904,4100,"1.辦理資訊科技融入教學，相關業務之媒體宣導製作、託播及刊登等經費3,690千元。
2.辦理氣候變遷調適與防災教育及永續校園計畫，防災教育深化行動及防災校園擴散計畫，短片製作及網路平臺推廣、網路行銷費等經費410千元。"
2001,111," "," "," "," ",資訊與科技教育行政及督導," "," "
2001,111," "," "," ",2,5120010908,2743,"1.辦理國際教育活動業務，宣導國際教育交流相關活動，相關媒體宣導製作、託播及刊登、圖文攝影暨短片等經費2,000千元。
2.辦理國際華語文教育，宣傳推廣學華語到臺灣及臺灣華語教育，相關媒體宣導製作、圖文刊登等經費368千元。
3.辦理培育宏觀視野國際人才，宣導各類出國留學、研修及實習獎學金，相關媒體宣導製作、託播及刊登等經費168千元。
4.辦理吸引國際學生來臺就學，宣導各類留學臺灣及獎學金資訊，相關媒體宣導製作、託播刊登及圖文攝影暨短片，以及辦理留學臺灣系列文宣製作，相關媒體文宣製作等經費207千元。"
2001,111," "," "," "," ",國際及兩岸教育交流," "," "
2001,111,11," "," "," ",0020000000," "," "
2001,111," "," "," "," ",教育部主管," "," "
2001,111," ",1," "," ",0020010000,38715," "
2001,111," "," "," "," ",教育部," "," "
2001,111," "," "," "," ",5120010000,38715," "
2001,111," "," "," "," ",教育支出," "," "
2001,111," "," ",1," ",5120010100,325,辦理推展一般教育與編印文教書刊，有關本部新增或重點政策以自媒體平臺宣導經費
2001,111," "," "," "," ",一般行政," "," "
2001,111," "," ",2," ",5120010200,8573," "
2001,111," "," "," "," ",高等教育," "," "
2001,111," "," "," ",1,5120010201,4403,"1.辦理推動及改進大學招生制度，相關活動之宣傳費，含網路平臺推廣、網路行銷費等經費228千元。
2.辦理強化人才培育及產學合作機制，大學校院藝術與設計人才養成、智財平臺及創新創業等計畫，行銷推廣所需之宣傳費，含網路平臺推廣、網路行銷費等經費1,250千元。
3.辦理改善教學研究環境及提升高等教育行政服務品質，各項高等教育政策媒體宣導等經費2,925千元。"
2001,111," "," "," "," ",高等教育行政及督導," "," "
2001,111," "," "," ",2,5120010202,4170,"辦理強化技職教育學制及特色，相關媒體宣導製作、託播及刊登等經費4,170千元。"
2001,111," "," "," "," ",技術職業教育行政及督導," "," "
2001,111," "," ",3," ",5120010300,6562," "
2001,111," "," "," "," ",中等教育," "," "
2001,111," "," "," ",1,5120010301,6562,"1.辦理推行藝術教育，支持系統與整合溝通平臺相關媒體宣導製作、託播及刊登等經費533千元。
2.辦理獎勵優良教師，師鐸獎專輯報導，透過平面媒體宣導製作及刊登等經費84千元。
3.辦理師資職前培育，相關媒體宣導製作、託播及刊登等經費4,000千元。
4.辦理教師專業發展，教育家部落格、敬師月敬師影片及活動，相關媒體宣導製作、託播及刊登等經費1,945千元。"
2001,111," "," "," "," ",師資培育與藝術教育行政及督導," "," "
2001,111," "," ",4," ",5120010500,5891,
2001,111," "," "," "," ",終身教育," "," "
2001,111," "," "," ",1,5120010501,5891,"1.辦理推動終身教育及學習網絡，相關終身學習計畫、活動、表揚之相關媒體宣導製作、託播及刊登等經費185千元。
2.辦理推動社區教育，推展社區教育、社會交通安全教育、學習型城市等相關媒體宣導製作、託播及刊登等經費50千元。
3.辦理推行家庭教育，國際家庭日、祖父母節與家庭教育計畫及活動等相關媒體宣導製作、託播及刊登等經費4,700千元。
4.辦理推動高齡教育，樂齡學習影片宣導製作等與相關媒體宣導製作、託播及刊登等經費39千元。
5.辦理本國語言文字標準訂定與推廣，相關閩南語語言能力認證、本土語言貢獻獎、閩客語文學獎及本土語言教育推廣相關活動等計畫之相關媒體宣導製作、託播及刊登等經費524千元。
6.辦理建立終身學習推動組織，國立社教機構推動終身學習活動相關媒體宣導製作、託播及刊登等經費393千元。"
2001,111," "," "," "," ",終身教育行政及督導," "," "
2001,111," "," ",5," ",5120010700,10521," "
2001,111," "," "," "," ",學務與輔導," "," "
2001,111," "," "," ",1,5120010701,10521,"1.辦理學生事務行政及督導，法治教育及生命教育相關媒體宣導製作、託播等經費1,101千元。
2.辦理學生輔導及性別平等教育，推動數位/網路性別暴力防治宣導工作計畫、性別平等Easy Go廣播節目、性別平等教育全球資訊網系統功能擴充及維護工作計畫及性別平等教育季刊編印等相關媒體宣導製作、託播、編印及刊登等經費3,061千元。
3.辦理校園安全維護與防制學生藥物濫用等相關媒體宣導製作、託播及刊登等經費5,404千元。
4.辦理學生全民國防教育推展，各級學校推動全民國防教育之政策、教學及多元輔教活動辦理實況等相關媒體宣導製作、託播等經費204千元。
5.辦理發展與改進大專校院特殊教育，委託辦理特殊教育宣導廣播節目-特別的愛等經費751千元。"
2001,111," "," "," "," ",學生事務與特殊教育行政及督導," "," "
2001,111," "," ",6," ",5120010900,6843," "
2001,111," "," "," "," ",各項教育推展," "," "
2001,111," "," "," ",1,5120010904,4100,"1.辦理資訊科技融入教學，相關業務之媒體宣導製作、託播及刊登等經費3,690千元。
2.辦理氣候變遷調適與防災教育及永續校園計畫，防災教育深化行動及防災校園擴散計畫，短片製作及網路平臺推廣、網路行銷費等經費410千元。"
2001,111," "," "," "," ",資訊與科技教育行政及督導," "," "
2001,111," "," "," ",2,5120010908,2743,"1.辦理國際教育活動業務，宣導國際教育交流相關活動，相關媒體宣導製作、託播及刊登、圖文攝影暨短片等經費2,000千元。
2.辦理國際華語文教育，宣傳推廣學華語到臺灣及臺灣華語教育，相關媒體宣導製作、圖文刊登等經費368千元。
3.辦理培育宏觀視野國際人才，宣導各類出國留學、研修及實習獎學金，相關媒體宣導製作、託播及刊登等經費168千元。
4.辦理吸引國際學生來臺就學，宣導各類留學臺灣及獎學金資訊，相關媒體宣導製作、託播刊登及圖文攝影暨短片，以及辦理留學臺灣系列文宣製作，相關媒體文宣製作等經費207千元。"
2001,111," "," "," "," ",國際及兩岸教育交流," "," "
