id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,分計畫編號,分計畫名稱,經常支出_人事費,經常支出_業務費,經常支出_獎補助費,經常支出_債務費,經常支出_小計,資本資出_業務費,資本資出_設備及投資,資本資出_獎補助費,資本資出_小計,合計,備註
201,111,111,,,6,,3102010600-6,卸任禮遇,,,3182700,2685630,0,0,5868330,0,0,0,0,5868330,
201,111,111,,,7,,3102010800-5,"公報編印及印信勳
章鑄造",,,0,3399441,0,0,3399441,0,0,0,0,3399441,
201,111,111,,,8,,3102019000-8,一般建築及設備,,,0,0,0,0,0,0,9749481,0,9749481,9749481,
201,111,111,,,,1,3102019011-4,交通及運輸設備,,,0,0,0,0,0,0,9749481,0,9749481,9749481,
201,111,111,,,,,,小計,,,616487503,242247878,792500,0,859527881,0,43627207,0,43627207,903155088,
201,111,111,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
201,111,111,,1,,,0002010000-4,總統府,,,0,38956159,0,0,38956159,0,12221985,0,12221985,51178144,
201,111,111,,,1,,3102010100-3,一般行政,,,0,36418673,0,0,36418673,0,12221985,0,12221985,48640658,
201,111,111,,,6,,3102010600-6,卸任禮遇,,,0,2537486,0,0,2537486,0,0,0,0,2537486,
201,111,111,,,,,,保留數,,,0,38956159,0,0,38956159,0,12221985,0,12221985,51178144,
201,111,111,,,,,,合計,,,616487503,281204037,792500,0,898484040,0,55849192,0,55849192,954333232,
201,112,112,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
201,112,112,,1,,,0002010000-4,總統府,,,653339093,260230444,765300,0,914334837,0,69599284,0,69599284,983934121,
201,112,112,,,1,,3102010100-3,一般行政,,,650029085,195731841,765300,0,846526226,0,61459513,0,61459513,907985739,
201,112,112,,,2,,3102010200-8,國務機要,,,0,29998830,0,0,29998830,0,0,0,0,29998830,
201,112,112,,,3,,3102010300-2,國家慶典,,,0,15543900,0,0,15543900,0,0,0,0,15543900,
201,112,112,,,4,,3102010400-7,研究發展,,,0,4482312,0,0,4482312,0,0,0,0,4482312,
201,112,112,,,,1,3102010401-0,"國家發展研究及
諮詢",,,0,4482312,0,0,4482312,0,0,0,0,4482312,
201,112,112,,,5,,3102010500-1,新聞發布,,,0,6680625,0,0,6680625,0,0,0,0,6680625,
201,112,112,,,6,,3102010600-6,卸任禮遇,,,3310008,2606166,0,0,5916174,0,0,0,0,5916174,
201,112,112,,,7,,3102010800-5,"公報編印及印信勳
章鑄造",,,0,5186770,0,0,5186770,0,0,0,0,5186770,
201,112,112,,,8,,3102019000-8,一般建築及設備,,,0,0,0,0,0,0,8139771,0,8139771,8139771,
201,112,112,,,,1,3102019011-4,交通及運輸設備,,,0,0,0,0,0,0,8139771,0,8139771,8139771,
201,112,112,,,,,,小計,,,653339093,260230444,765300,0,914334837,0,69599284,0,69599284,983934121,
201,112,112,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
201,112,112,,1,,,0002010000-4,總統府,,,0,36585122,0,0,36585122,0,3450000,0,3450000,40035122,
201,112,112,,,1,,3102010100-3,一般行政,,,0,32117800,0,0,32117800,0,3450000,0,3450000,35567800,
201,112,112,,,6,,3102010600-6,卸任禮遇,,,0,2407022,0,0,2407022,0,0,0,0,2407022,
201,112,112,,,7,,3102010800-5,"公報編印及印信勳
章鑄造",,,0,2060300,0,0,2060300,0,0,0,0,2060300,
201,112,112,,,,,,保留數,,,0,36585122,0,0,36585122,0,3450000,0,3450000,40035122,
201,112,112,,,,,,合計,,,653339093,296815566,765300,0,950919959,0,73049284,0,73049284,1023969243,
240,106,106,1,,,,0002000000-8,總統府主管,,,2491095432,5365482301,1610449087,0,9467026820,0,3922361387,0,3922361387,13389388207,
240,106,106,,5,,,0002400000-9,中央研究院,,,2491095432,5365482301,1610449087,0,9467026820,0,3922361387,0,3922361387,13389388207,
240,106,106,,,1,,5202400100-6,一般行政,,,182994326,165587336,288000,0,348869662,0,983984,0,983984,349853646,
240,106,106,,,2,,5202401000-7,"一般學術研究及評
議",,,2308101106,1848983984,1492632405,0,5649717495,0,440316708,0,440316708,6090034203,
240,106,106,,,,1,5202401020-4,"學術審議及研究
獎助",,,2308101106,335792980,100434780,0,2744328866,0,133621501,0,133621501,2877950367,
